# l                Dl               -dDl             +dDl             BestFit          
  4.77112240e+01   1.20749831e-01   1.81129739e-02   1.81129739e-02   1.01921284e-01
  7.64716065e+01   4.22330494e-01   2.69026141e-02   2.69026141e-02   4.12241166e-01
  1.05917385e+02   8.49488203e-01   3.91203692e-02   3.91203692e-02   8.50710995e-01
  1.35605348e+02   1.09213868e+00   4.78476674e-02   4.78476674e-02   1.11114135e+00
  1.65405597e+02   9.88070028e-01   5.15459457e-02   5.15459457e-02   9.91601215e-01
  1.95266870e+02   7.91516497e-01   5.55648504e-02   5.55648504e-02   7.33876835e-01
  2.25164945e+02   1.08925908e+00   6.92670905e-02   6.92670905e-02   1.06891865e+00
  2.55086908e+02   2.89993905e+00   1.02145041e-01   1.02145041e-01   2.86961567e+00
  2.85025248e+02   6.58736559e+00   1.58410360e-01   1.58410360e-01   6.58038247e+00
  3.14975304e+02   1.18610201e+01   2.30745170e-01   2.30745170e-01   1.17633215e+01
  3.44934027e+02   1.68843872e+01   3.01720079e-01   3.01720079e-01   1.70663816e+01
  3.74899344e+02   2.02810142e+01   3.51019765e-01   3.51019765e-01   2.07053715e+01
  4.04869791e+02   2.11597188e+01   3.64724824e-01   3.64724824e-01   2.12928060e+01
  4.34844309e+02   1.88812090e+01   3.44444745e-01   3.44444745e-01   1.85806842e+01
  4.64822111e+02   1.39493770e+01   3.08645762e-01   3.08645762e-01   1.37578205e+01
  4.94802601e+02   9.79139624e+00   2.77166792e-01   2.77166792e-01   9.09485245e+00
  5.24785320e+02   6.93902110e+00   2.42666214e-01   2.42666214e-01   7.05200144e+00
  5.54769905e+02   9.28007364e+00   2.81751162e-01   2.81751162e-01   9.21017734e+00
  5.84756069e+02   1.49925146e+01   3.59342225e-01   3.59342225e-01   1.55125854e+01
  6.14743583e+02   2.41163562e+01   4.58891512e-01   4.58891512e-01   2.41656218e+01
  6.44732258e+02   3.20542905e+01   5.53243862e-01   5.53243862e-01   3.22851523e+01
  6.74721939e+02   3.64396957e+01   6.16341788e-01   6.16341788e-01   3.70316549e+01
  7.04712498e+02   3.77719958e+01   6.36278935e-01   6.36278935e-01   3.67847537e+01
  7.34703827e+02   3.07773358e+01   6.20816992e-01   6.20816992e-01   3.17781100e+01
  7.64695836e+02   2.40026450e+01   5.92251834e-01   5.92251834e-01   2.40904837e+01
  7.94688447e+02   1.76383877e+01   5.76899210e-01   5.76899210e-01   1.68213122e+01
  8.24681596e+02   1.26772417e+01   5.94049333e-01   5.94049333e-01   1.29096377e+01
  8.54675226e+02   1.43667920e+01   6.51279215e-01   6.51279215e-01   1.39945775e+01
  8.84669287e+02   2.08271508e+01   7.45225127e-01   7.45225127e-01   1.98154340e+01
  9.14663738e+02   2.82753990e+01   8.62455222e-01   8.62455222e-01   2.83282552e+01
  9.44658541e+02   3.74782495e+01   9.82464020e-01   9.82464020e-01   3.65133697e+01
  9.74653663e+02   3.98525131e+01   1.08538475e+00   1.08538475e+00   4.15044129e+01
  1.00464908e+03   4.24210745e+01   1.28845629e+00   1.28845629e+00   4.16467345e+01
  1.03464476e+03   3.89168322e+01   1.40389727e+00   1.40389727e+00   3.70259394e+01
  1.06464068e+03   3.16979891e+01   1.45285375e+00   1.45285375e+00   2.93614832e+01
  1.09463683e+03   2.15895269e+01   1.51158047e+00   1.51158047e+00   2.13050925e+01
  1.12463318e+03   1.53428840e+01   1.59584670e+00   1.59584670e+00   1.54502263e+01
  1.15462972e+03   1.13115395e+01   1.71407956e+00   1.71407956e+00   1.34210973e+01
  1.18462643e+03   1.40279754e+01   1.86659875e+00   1.86659875e+00   1.53809479e+01
  1.21462331e+03   2.01239845e+01   2.04677725e+00   2.04677725e+00   2.00895579e+01
  1.24462034e+03   2.77045515e+01   2.24381970e+00   2.24381970e+00   2.54609811e+01
  1.27461751e+03   2.95959950e+01   2.44698205e+00   2.44698205e+00   2.93640090e+01
  1.30461481e+03   3.19984137e+01   2.64990287e+00   2.64990287e+00   3.03705373e+01
  1.33461223e+03   2.86426329e+01   2.85310019e+00   2.85310019e+00   2.81884375e+01
  1.36460976e+03   2.12237085e+01   3.06355680e+00   3.06355680e+00   2.36579799e+01
  1.39460740e+03   1.90954371e+01   3.29191190e+00   3.29191190e+00   1.83488888e+01
  1.42460514e+03   1.51794326e+01   3.54889433e+00   3.54889433e+00   1.39463167e+01
  1.45460297e+03   1.08567065e+01   3.84246674e+00   3.84246674e+00   1.16563640e+01
  1.48460089e+03   1.42546766e+01   4.17641455e+00   4.17641455e+00   1.18478240e+01
  1.51459890e+03   1.32651859e+01   4.55047098e+00   4.55047098e+00   1.40068314e+01
  1.54459698e+03   2.22540954e+01   4.96171139e+00   4.96171139e+00   1.70110648e+01
  1.57459513e+03   8.04204237e+00   5.40677777e+00   5.40677777e+00   1.95687528e+01
  1.60459335e+03   2.75304437e+01   5.88413690e+00   5.88413690e+00   2.06824209e+01
  1.63459164e+03   1.87063858e+01   6.39561010e+00   6.39561010e+00   1.99388595e+01
  1.66458999e+03   2.88882162e+01   6.94668339e+00   6.94668339e+00   1.75866790e+01
  1.69458839e+03   2.15491927e+01   7.54562240e+00   7.54562240e+00   1.43696340e+01
  1.72458686e+03   5.11297676e+00   8.20191369e+00   8.20191369e+00   1.12241853e+01
