# l                Dl               -dDl             +dDl             BestFit          
  4.77112240e+01   7.40661638e-01   6.60646283e-01   6.60646283e-01   1.02904074e+00
  7.64716065e+01  -7.77012600e+00   8.43982339e-01   8.43982339e-01  -8.55163224e+00
  1.05917385e+02  -2.73961489e+01   1.16119366e+00   1.16119366e+00  -2.65769809e+01
  1.35605348e+02  -4.17296295e+01   1.41644907e+00   1.41644907e+00  -4.26131713e+01
  1.65405597e+02  -4.66848311e+01   1.49225779e+00   1.49225779e+00  -4.34116442e+01
  1.95266870e+02  -1.94602301e+01   1.46326323e+00   1.46326323e+00  -2.12227309e+01
  2.25164945e+02   2.17421286e+01   1.59717406e+00   1.59717406e+00   2.11303023e+01
  2.55086908e+02   6.82563156e+01   1.97801118e+00   1.97801118e+00   7.02923029e+01
  2.85025248e+02   1.07731293e+02   2.35240984e+00   2.35240984e+00   1.07898473e+02
  3.14975304e+02   1.19378961e+02   2.49179651e+00   2.49179651e+00   1.18474043e+02
  3.44934027e+02   9.29381604e+01   2.35588981e+00   2.35588981e+00   9.63387231e+01
  3.74899344e+02   4.71523720e+01   2.09013949e+00   2.09013949e+00   4.84466976e+01
  4.04869791e+02  -8.16462484e+00   1.91192538e+00   1.91192538e+00  -8.22015006e+00
  4.34844309e+02  -5.50686284e+01   1.88080347e+00   1.88080347e+00  -5.36521676e+01
  4.64822111e+02  -7.62071916e+01   1.86654843e+00   1.86654843e+00  -7.30260537e+01
  4.94802601e+02  -6.41662972e+01   1.78977030e+00   1.78977030e+00  -6.25895071e+01
  5.24785320e+02  -3.12072275e+01   1.67437225e+00   1.67437225e+00  -3.08673325e+01
  5.54769905e+02   4.60785784e+00   1.76691262e+00   1.76691262e+00   5.07284777e+00
  5.84756069e+02   2.54254506e+01   1.93763004e+00   1.93763004e+00   2.69296601e+01
  6.14743583e+02   2.40162893e+01   2.07008084e+00   2.07008084e+00   2.27425101e+01
  6.44732258e+02  -5.07511156e+00   2.14691724e+00   2.14691724e+00  -8.29730512e+00
  6.74721939e+02  -5.89325057e+01   2.22710214e+00   2.22710214e+00  -5.57279714e+01
  7.04712498e+02  -9.92013219e+01   2.33382651e+00   2.33382651e+00  -1.02002190e+02
  7.34703827e+02  -1.27368099e+02   2.41179735e+00   2.41179735e+00  -1.29670784e+02
  7.64695836e+02  -1.22196310e+02   2.40485517e+00   2.40485517e+00  -1.27951113e+02
  7.94688447e+02  -9.35322650e+01   2.33304995e+00   2.33304995e+00  -9.67587548e+01
  8.24681596e+02  -4.62438081e+01   2.27381549e+00   2.27381549e+00  -4.64266405e+01
  8.54675226e+02   6.15256225e+00   2.27719100e+00   2.27719100e+00   6.34697621e+00
  8.84669287e+02   4.45976027e+01   2.30835168e+00   2.30835168e+00   4.47722827e+01
  9.14663738e+02   6.06380162e+01   2.29690863e+00   2.29690863e+00   5.78711231e+01
  9.44658541e+02   4.62980421e+01   2.22080569e+00   2.22080569e+00   4.39143950e+01
  9.74653663e+02   1.40205694e+01   2.12864407e+00   2.12864407e+00   1.03260864e+01
  1.00464908e+03  -3.38361275e+01   2.20829876e+00   2.20829876e+00  -2.96720907e+01
  1.03464476e+03  -5.76422432e+01   2.29393418e+00   2.29393418e+00  -6.21455116e+01
  1.06464068e+03  -7.92433855e+01   2.36042115e+00   2.36042115e+00  -7.72999132e+01
  1.09463683e+03  -6.98143864e+01   2.42351549e+00   2.42351549e+00  -7.24534376e+01
  1.12463318e+03  -4.84699788e+01   2.46926676e+00   2.46926676e+00  -5.21768034e+01
  1.15462972e+03  -2.28085844e+01   2.49860382e+00   2.49860382e+00  -2.58896508e+01
  1.18462643e+03  -5.96347149e+00   2.50770874e+00   2.50770874e+00  -3.99800322e+00
  1.21462331e+03   3.70286891e+00   2.49244542e+00   2.49244542e+00   5.88615930e+00
  1.24462034e+03   4.54689026e-01   2.46461800e+00   2.46461800e+00   1.33759978e+00
  1.27461751e+03  -1.39487808e+01   2.45679179e+00   2.45679179e+00  -1.46015687e+01
  1.30461481e+03  -3.78166393e+01   2.50172023e+00   2.50172023e+00  -3.50683872e+01
  1.33461223e+03  -5.15933833e+01   2.60555527e+00   2.60555527e+00  -5.22106497e+01
  1.36460976e+03  -6.29567687e+01   2.74521159e+00   2.74521159e+00  -6.00275563e+01
  1.39460740e+03  -5.72560832e+01   2.88830799e+00   2.88830799e+00  -5.62718213e+01
  1.42460514e+03  -4.42513037e+01   3.01013658e+00   3.01013658e+00  -4.28146314e+01
  1.45460297e+03  -2.78445302e+01   3.09755868e+00   3.09755868e+00  -2.45783056e+01
  1.48460089e+03  -2.87064314e+00   3.14669082e+00   3.14669082e+00  -7.52605336e+00
  1.51459890e+03   6.32897959e+00   3.16479665e+00   3.16479665e+00   3.43226051e+00
  1.54459698e+03   8.70758155e+00   3.17133288e+00   3.17133288e+00   5.95513430e+00
  1.57459513e+03  -3.70691879e+00   3.19454206e+00   3.19454206e+00   7.03060091e-01
  1.60459335e+03  -8.36046713e+00   3.26353834e+00   3.26353834e+00  -9.26560297e+00
  1.63459164e+03  -2.43971239e+01   3.39445360e+00   3.39445360e+00  -1.98410346e+01
  1.66458999e+03  -2.24457100e+01   3.58332414e+00   3.58332414e+00  -2.73467001e+01
  1.69458839e+03  -2.88003419e+01   3.81067775e+00   3.81067775e+00  -2.96948627e+01
