# l                Dl               -dDl             +dDl             BestFit          
  4.77112240e+01   1.47933552e+03   5.07654876e+01   5.07654876e+01   1.46111304e+03
  7.64716065e+01   2.03496833e+03   5.47101576e+01   5.47101576e+01   2.06238073e+03
  1.05917385e+02   2.95539416e+03   6.49766440e+01   6.49766440e+01   2.90452526e+03
  1.35605348e+02   3.86951392e+03   7.69143744e+01   7.69143744e+01   3.90248963e+03
  1.65405597e+02   4.88946506e+03   8.65856259e+01   8.65856259e+01   4.86135537e+03
  1.95266870e+02   5.46410945e+03   9.05533459e+01   9.05533459e+01   5.53480715e+03
  2.25164945e+02   5.79343954e+03   8.71348811e+01   8.71348811e+01   5.72693135e+03
  2.55086908e+02   5.37288375e+03   7.69383697e+01   7.69383697e+01   5.37498113e+03
  2.85025248e+02   4.62767753e+03   6.25199141e+01   6.25199141e+01   4.58832266e+03
  3.14975304e+02   3.60423851e+03   4.71589439e+01   4.71589439e+01   3.59689801e+03
  3.44934027e+02   2.63120029e+03   3.38762191e+01   3.38762191e+01   2.66745188e+03
  3.74899344e+02   2.03305943e+03   2.48190562e+01   2.48190562e+01   2.01816864e+03
  4.04869791e+02   1.75336253e+03   2.07109083e+01   2.07109083e+01   1.74834025e+03
  4.34844309e+02   1.78757901e+03   2.06713695e+01   2.06713695e+01   1.82192489e+03
  4.64822111e+02   2.16204649e+03   2.27523861e+01   2.27523861e+01   2.09823728e+03
  4.94802601e+02   2.42208480e+03   2.49726104e+01   2.49726104e+01   2.39772998e+03
  5.24785320e+02   2.57348050e+03   2.59184118e+01   2.59184118e+01   2.57144487e+03
  5.54769905e+02   2.54629768e+03   2.50510538e+01   2.50510538e+01   2.55180645e+03
  5.84756069e+02   2.36064530e+03   2.27209283e+01   2.27209283e+01   2.36436140e+03
  6.14743583e+02   2.09543505e+03   1.98505488e+01   1.98505488e+01   2.10480607e+03
  6.44732258e+02   1.88467698e+03   1.75025264e+01   1.75025264e+01   1.89096016e+03
  6.74721939e+02   1.81316288e+03   1.64306044e+01   1.64306044e+01   1.81252216e+03
  7.04712498e+02   1.88319393e+03   1.67990643e+01   1.67990643e+01   1.89672650e+03
  7.34703827e+02   2.09713072e+03   1.81645476e+01   1.81645476e+01   2.10225612e+03
  7.64695836e+02   2.31873584e+03   1.97363538e+01   1.97363538e+01   2.33880907e+03
  7.94688447e+02   2.46458129e+03   2.07062220e+01   2.07062220e+01   2.50417440e+03
  8.24681596e+02   2.52191260e+03   2.05197620e+01   2.05197620e+01   2.52277302e+03
  8.54675226e+02   2.39412077e+03   1.90381031e+01   1.90381031e+01   2.37141912e+03
  8.84669287e+02   2.08333867e+03   1.65790348e+01   1.65790348e+01   2.08335227e+03
  9.14663738e+02   1.74072841e+03   1.37374917e+01   1.37374917e+01   1.73253226e+03
  9.44658541e+02   1.41867342e+03   1.11420483e+01   1.11420483e+01   1.40502882e+03
  9.74653663e+02   1.17295424e+03   9.28646475e+00   9.28646475e+00   1.17014623e+03
  1.00464908e+03   1.06240462e+03   8.37987000e+00   8.37987000e+00   1.05887288e+03
  1.03464476e+03   1.04786241e+03   8.30074773e+00   8.30074773e+00   1.05936420e+03
  1.06464068e+03   1.13235191e+03   8.68575434e+00   8.68575434e+00   1.12669220e+03
  1.09463683e+03   1.21101851e+03   9.11274984e+00   9.11274984e+00   1.20298244e+03
  1.12463318e+03   1.23187224e+03   9.26050628e+00   9.26050628e+00   1.23858790e+03
  1.15462972e+03   1.20578050e+03   8.98528122e+00   8.98528122e+00   1.20804315e+03
  1.18462643e+03   1.11792662e+03   8.33171031e+00   8.33171031e+00   1.11502109e+03
  1.21462331e+03   9.68422243e+02   7.54508665e+00   7.54508665e+00   9.86438951e+02
  1.24462034e+03   8.64397967e+02   6.64322644e+00   6.64322644e+00   8.59469330e+02
  1.27461751e+03   7.61605936e+02   5.98585735e+00   5.98585735e+00   7.66845300e+02
  1.30461481e+03   7.32339633e+02   5.68666086e+00   5.68666086e+00   7.25319871e+02
