Date__(UT)__HR:MN, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),
 2016-Jan-01 00:00, , ,280.62371,-23.07790,
 2016-Jan-02 00:00, , ,281.72789,-22.99930,
 2016-Jan-03 00:00, , ,282.83083,-22.91306,
 2016-Jan-04 00:00, , ,283.93240,-22.81920,
 2016-Jan-05 00:00, , ,285.03247,-22.71778,
 2016-Jan-06 00:00, , ,286.13091,-22.60885,
 2016-Jan-07 00:00, , ,287.22759,-22.49246,
 2016-Jan-08 00:00, , ,288.32239,-22.36867,
 2016-Jan-09 00:00, , ,289.41519,-22.23754,
 2016-Jan-10 00:00, , ,290.50585,-22.09913,
 2016-Jan-11 00:00, , ,291.59426,-21.95352,
 2016-Jan-12 00:00, , ,292.68029,-21.80078,
 2016-Jan-13 00:00, , ,293.76382,-21.64097,
 2016-Jan-14 00:00, , ,294.84476,-21.47419,
 2016-Jan-15 00:00, , ,295.92299,-21.30051,
 2016-Jan-16 00:00, , ,296.99841,-21.12001,
 2016-Jan-17 00:00, , ,298.07095,-20.93278,
 2016-Jan-18 00:00, , ,299.14053,-20.73891,
 2016-Jan-19 00:00, , ,300.20708,-20.53848,
 2016-Jan-20 00:00, , ,301.27055,-20.33158,
 2016-Jan-21 00:00, , ,302.33089,-20.11832,
 2016-Jan-22 00:00, , ,303.38807,-19.89877,
 2016-Jan-23 00:00, , ,304.44204,-19.67304,
 2016-Jan-24 00:00, , ,305.49278,-19.44123,
 2016-Jan-25 00:00, , ,306.54028,-19.20342,
 2016-Jan-26 00:00, , ,307.58451,-18.95973,
 2016-Jan-27 00:00, , ,308.62545,-18.71025,
 2016-Jan-28 00:00, , ,309.66310,-18.45509,
 2016-Jan-29 00:00, , ,310.69745,-18.19436,
 2016-Jan-30 00:00, , ,311.72847,-17.92815,
 2016-Jan-31 00:00, , ,312.75618,-17.65658,
 2016-Feb-01 00:00, , ,313.78056,-17.37976,
 2016-Feb-02 00:00, , ,314.80161,-17.09780,
 2016-Feb-03 00:00, , ,315.81933,-16.81081,
 2016-Feb-04 00:00, , ,316.83372,-16.51891,
 2016-Feb-05 00:00, , ,317.84480,-16.22220,
 2016-Feb-06 00:00, , ,318.85255,-15.92080,
 2016-Feb-07 00:00, , ,319.85699,-15.61484,
 2016-Feb-08 00:00, , ,320.85811,-15.30443,
 2016-Feb-09 00:00, , ,321.85593,-14.98968,
 2016-Feb-10 00:00, , ,322.85044,-14.67073,
 2016-Feb-11 00:00, , ,323.84167,-14.34768,
 2016-Feb-12 00:00, , ,324.82961,-14.02067,
 2016-Feb-13 00:00, , ,325.81430,-13.68980,
 2016-Feb-14 00:00, , ,326.79576,-13.35520,
 2016-Feb-15 00:00, , ,327.77402,-13.01699,
 2016-Feb-16 00:00, , ,328.74913,-12.67528,
 2016-Feb-17 00:00, , ,329.72114,-12.33019,
 2016-Feb-18 00:00, , ,330.69011,-11.98183,
 2016-Feb-19 00:00, , ,331.65610,-11.63031,
 2016-Feb-20 00:00, , ,332.61917,-11.27575,
 2016-Feb-21 00:00, , ,333.57941,-10.91825,
 2016-Feb-22 00:00, , ,334.53689,-10.55793,
 2016-Feb-23 00:00, , ,335.49169,-10.19490,
 2016-Feb-24 00:00, , ,336.44387, -9.82926,
 2016-Feb-25 00:00, , ,337.39353, -9.46113,
 2016-Feb-26 00:00, , ,338.34075, -9.09061,
 2016-Feb-27 00:00, , ,339.28560, -8.71782,
 2016-Feb-28 00:00, , ,340.22817, -8.34286,
 2016-Feb-29 00:00, , ,341.16853, -7.96584,
 2016-Mar-01 00:00, , ,342.10677, -7.58687,
 2016-Mar-02 00:00, , ,343.04296, -7.20606,
 2016-Mar-03 00:00, , ,343.97720, -6.82352,
