 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
1   ;* 15 Eri                 ;03 18 22.10504 -22 30 40.0191;049.59210433 -22.51111641  ; 4.875
2   ;* ksi Leo                ;09 31 56.73886 +11 17 59.3933;142.98641194 +11.29983148  ; 4.973
3   ;* kap Aql                ;19 36 53.44952 -07 01 38.9176;294.22270632 -07.02747710  ; 4.960
4   ;* 145 CMa                ;07 16 36.83423 -23 18 56.1398;109.15347596 -23.31559438  ; 4.79 
5   ;* 30 Oph                 ;17 01 03.60266 -04 13 21.5183;255.26501106 -04.22264398  ; 4.827
6   ;* 16 Pup                 ;08 09 01.63741 -19 14 42.0521;122.25682254 -19.24501446  ; 4.390
7   ;* 32 Eri                 ;03 54 17.50180 -02 57 17.0435;058.57292417 -02.95473430  ; 4.45 
8   ;* 17 Crt                 ;11 32 16.40407 -29 15 39.6768;173.06835030 -29.26102134  ; 4.99 
9   ;* gam02 Ari              ;01 53 31.768 +19 17 38.68    ;028.382367 +19.294078      ; 4.52 
10  ;HR 2881                  ;07 30 42.60231 -30 57 44.2137;112.67750963 -30.96228158  ; 4.65 
11  ;* phi Cyg                ;19 39 22.60591 +30 09 11.9604;294.84419128 +30.15332234  ; 4.685
12  ;* 39 Cyg                 ;20 23 51.62070 +32 11 24.6191;305.96508624 +32.19017197  ; 4.44 
13  ;ADS 8801 AB              ;13 09 56.9 -05 32 13         ;197.4871 -05.5369          ; 4.4  
14  ;* ksi Vir                ;11 45 17.04027 +08 15 29.2150;176.32100113 +08.25811528  ; 4.845
15  ;* 28 Mon                 ;08 01 13.33574 -01 23 33.3935;120.30556558 -01.39260930  ; 4.692
16  ;* tau Gem                ;07 11 08.37042 +30 14 42.5831;107.78487675 +30.24516198  ; 4.42 
17  ;* del Pyx                ;08 55 31.56948 -27 40 54.7315;133.88153951 -27.68186985  ; 4.89 
18  ;* pi. Eri                ;03 46 08.53581 -12 06 05.7282;056.53556587 -12.10159117  ; 4.42 
19  ;* ksi Pup                ;07 49 17.65567 -24 51 35.2305;117.32356528 -24.85978624  ; 3.30 
20  ;* n Tau                  ;05 19 16.60169 +22 05 47.3740;079.81917373 +22.09649278  ; 4.956
21  ;* del Psc                ;00 48 40.94433 +07 35 06.2926;012.17060139 +07.58508127  ; 4.44 
22  ;* gam Del                ;20 46 39.2 +16 07 27         ;311.6633 +16.1242          ; 3.91 
23  ;* lam Ori                ;05 35 08.27761 +09 56 02.9611;083.78449002 +09.93415587  ; 3.66 
24  ;* gam Pyx                ;08 50 31.92282 -27 42 35.4421;132.63301176 -27.70984503  ; 4.01 
25  ;* iot Oph                ;16 54 00.47151 +10 09 55.2982;253.50196463 +10.16536062  ; 4.38 
26  ;* del03 Tau              ;04 25 29.38340 +17 55 40.4579;066.37243082 +17.92790497  ; 4.311
27  ;* iot Ori                ;05 35 25.98191 -05 54 35.6435;083.85825795 -05.90990098  ; 2.77 
